Unnamed: 0,Drug_dose,NP_concentration,NP size_min,NP size_max,shape,ZOI_drug,ZOI_drug_NP,MDR_check,NP_Synthesis_Chem,NP_Synthesis_Green,NP_Synthesis_Bio,gram,"min_Incub_period, h",biosafety_level,MolLogP,fr_lactam,NumAromaticHeterocycles,d_to_Micrococcus luteus,d_to_Neisseria mucosa,d_to_Candida albicans
638,30.0,100.0,5.0,30.0,0,0.0,17.0,1,0,0,1.0,1.0,240.0,1,0.10620000000000512,0.0,0.0,0,14,18
639,10.0,100.0,5.0,30.0,0,0.0,17.0,1,0,0,1.0,1.0,240.0,1,-3.327499999999995,0.0,0.0,0,14,18
300,500.0,30.0,8.0,20.0,1,12.0,15.0,0,0,1,0.0,1.0,24.0,2,-1.2991999999999946,1.0,2.0,12,14,18
432,500.0,30.0,8.0,20.0,1,22.0,50.0,0,0,1,0.0,-1.0,24.0,2,0.3181000000000002,1.0,0.0,14,0,18
488,500.0,30.0,8.0,20.0,1,46.0,48.0,0,0,1,0.0,-1.0,24.0,2,-3.4698999999999973,1.0,0.0,14,0,18
490,500.0,30.0,8.0,20.0,1,48.0,48.0,0,0,1,0.0,-1.0,24.0,2,0.3736999999999999,1.0,0.0,14,0,18
489,500.0,30.0,8.0,20.0,1,47.0,47.0,0,0,1,0.0,-1.0,24.0,2,-1.198999999999999,1.0,2.0,14,0,18
487,500.0,30.0,8.0,20.0,1,44.0,44.0,0,0,1,0.0,-1.0,24.0,2,4.335420000000004,0.0,0.0,14,0,18
479,500.0,30.0,8.0,20.0,1,30.0,42.0,0,0,1,0.0,-1.0,24.0,2,-3.327499999999995,0.0,0.0,14,0,18
140,15.0,42.5,14.45,15.55,0,28.0,41.0,0,0,0,1.0,-1.0,48.0,2,1.9007000000000054,0.0,0.0,14,10,18
138,30.0,42.33,14.45,15.55,0,27.0,40.0,0,0,0,1.0,-1.0,12.0,2,0.9089999999999998,0.0,0.0,14,10,18
139,15.0,42.15,14.45,15.55,0,27.0,40.0,0,0,0,1.0,1.0,24.0,2,1.9007000000000054,0.0,0.0,12,14,18
145,30.0,42.24,14.45,15.55,0,32.0,40.0,0,0,0,1.0,1.0,24.0,2,-1.2435999999999974,0.0,0.0,12,14,18
485,500.0,30.0,8.0,20.0,1,40.0,40.0,0,0,1,0.0,-1.0,24.0,2,0.023700000000000443,1.0,0.0,14,0,18
486,500.0,30.0,8.0,20.0,1,40.0,40.0,0,0,1,0.0,-1.0,24.0,2,-0.24029999999999685,1.0,0.0,14,0,18
478,500.0,30.0,8.0,20.0,1,30.0,39.0,0,0,1,0.0,1.0,0.16,1,-0.21439999999999837,0.0,0.0,12,14,18
659,10.0,100.0,5.0,30.0,0,23.0,38.0,0,0,0,1.0,1.0,4.0,2,1.5833,0.0,1.0,12,14,18
134,20.0,42.2,14.45,15.55,0,25.0,38.0,0,0,0,1.0,1.0,24.0,2,0.3181000000000002,1.0,0.0,12,14,18
484,500.0,30.0,8.0,20.0,1,34.0,38.0,0,0,1,0.0,-1.0,24.0,2,-0.21439999999999837,0.0,0.0,14,0,18
125,30.0,42.11,14.45,15.55,0,0.0,37.0,1,0,0,1.0,-1.0,48.0,2,-0.5359999999999987,1.0,1.0,14,10,18
467,500.0,30.0,8.0,20.0,1,26.0,37.0,0,0,1,0.0,1.0,0.16,1,-8.161100000000008,0.0,0.0,12,14,18
708,2.0,10.0,5.0,32.0,0,37.0,37.0,0,0,0,1.0,-1.0,48.0,2,2.62362,0.0,2.0,14,10,18
124,1.0,42.27,14.45,15.55,0,0.0,36.0,1,0,0,1.0,-1.0,12.0,2,1.89532,1.0,1.0,14,10,18
137,30.0,42.13,14.45,15.55,0,27.0,36.0,0,0,0,1.0,-1.0,48.0,2,0.9089999999999998,0.0,0.0,14,10,18
724,10.0,10.0,5.0,40.0,0,29.0,36.0,0,0,0,1.0,-1.0,168.0,2,0.9089999999999998,0.0,0.0,14,10,18
744,10.0,,5.0,40.0,0,29.0,36.0,0,0,0,1.0,-1.0,168.0,2,0.9089999999999998,0.0,0.0,14,10,18
707,2.0,10.0,5.0,32.0,0,36.0,36.0,0,0,0,1.0,1.0,24.0,2,2.62362,0.0,2.0,12,14,18
130,30.0,42.34,14.45,15.55,0,20.0,35.0,0,0,0,1.0,-1.0,12.0,2,-1.2435999999999974,0.0,0.0,14,10,18
657,10.0,100.0,5.0,30.0,0,22.0,35.0,0,0,0,1.0,-1.0,24.0,2,1.5833,0.0,1.0,14,10,18
122,40.0,42.8,14.45,15.55,0,0.0,34.0,1,0,0,1.0,-1.0,48.0,2,-4.953199999999996,1.0,1.0,14,10,18
123,50.0,42.32,14.45,15.55,0,0.0,34.0,1,0,0,1.0,-1.0,12.0,2,-0.09110000000000007,0.0,0.0,14,10,18
416,500.0,30.0,8.0,20.0,1,20.0,34.0,0,0,1,0.0,1.0,0.16,1,0.3181000000000002,1.0,0.0,12,14,18
141,30.0,42.23,14.45,15.55,0,29.0,34.0,0,0,0,1.0,1.0,24.0,2,0.9089999999999998,0.0,0.0,12,14,18
482,500.0,30.0,8.0,20.0,1,34.0,34.0,0,0,1,0.0,-1.0,24.0,2,-1.1722999999999981,0.0,0.0,14,0,18
483,500.0,30.0,8.0,20.0,1,34.0,34.0,0,0,1,0.0,1.0,0.16,1,0.3736999999999999,1.0,0.0,12,14,18
121,50.0,42.12,14.45,15.55,0,0.0,32.0,1,0,0,1.0,-1.0,48.0,2,-0.09110000000000007,0.0,0.0,14,10,18
129,15.0,42.25,14.45,15.55,0,20.0,32.0,0,0,0,1.0,-1.0,12.0,2,1.9007000000000054,0.0,0.0,14,10,18
452,500.0,30.0,8.0,20.0,1,24.0,32.0,0,0,1,0.0,1.0,0.16,1,0.9089999999999998,0.0,0.0,12,14,18
453,500.0,30.0,8.0,20.0,1,24.0,32.0,0,0,1,0.0,-1.0,24.0,2,-8.161100000000008,0.0,0.0,14,10,18
143,20.0,42.1,14.45,15.55,0,30.0,32.0,0,0,0,1.0,-1.0,48.0,2,0.3181000000000002,1.0,0.0,14,10,18
480,500.0,30.0,8.0,20.0,1,32.0,32.0,0,0,1,0.0,-1.0,24.0,2,-1.2991999999999946,1.0,2.0,14,0,18
481,500.0,30.0,8.0,20.0,1,32.0,32.0,0,0,1,0.0,-1.0,24.0,2,0.9089999999999998,0.0,0.0,14,0,18
265,500.0,30.0,8.0,20.0,1,8.0,31.0,0,0,1,0.0,-1.0,24.0,2,0.07349999999999995,0.0,1.0,14,0,18
723,10.0,10.0,5.0,40.0,0,24.0,31.0,0,0,0,1.0,-1.0,168.0,2,1.785600000000004,0.0,0.0,14,10,18
743,10.0,,5.0,40.0,0,24.0,31.0,0,0,0,1.0,-1.0,168.0,2,1.785600000000004,0.0,0.0,14,10,18
474,500.0,30.0,8.0,20.0,1,30.0,30.0,0,0,1,0.0,-1.0,24.0,2,-4.953199999999996,1.0,1.0,14,0,18
475,500.0,30.0,8.0,20.0,1,30.0,30.0,0,0,1,0.0,-1.0,8.0,2,0.3736999999999999,1.0,0.0,14,10,18
476,500.0,30.0,8.0,20.0,1,30.0,30.0,0,0,1,0.0,-1.0,8.0,2,-3.327499999999995,0.0,0.0,14,10,18
477,500.0,30.0,8.0,20.0,1,30.0,30.0,0,0,1,0.0,-1.0,8.0,2,-8.161100000000008,0.0,0.0,14,10,18
660,10.0,100.0,5.0,30.0,0,28.0,29.0,0,0,0,1.0,1.0,24.0,2,1.5833,0.0,1.0,12,14,18
473,500.0,30.0,8.0,20.0,1,29.0,29.0,0,0,1,0.0,-1.0,48.0,2,0.3181000000000002,1.0,0.0,14,10,18
706,5.0,10.0,5.0,32.0,0,29.0,29.0,0,0,0,1.0,1.0,24.0,2,-0.5447999999999991,1.0,1.0,12,14,18
127,10.0,42.26,14.45,15.55,0,17.0,28.0,0,0,0,1.0,-1.0,12.0,2,-3.327499999999995,0.0,0.0,14,10,18
131,40.0,42.28,14.45,15.55,0,21.0,28.0,0,0,0,1.0,-1.0,12.0,2,-4.953199999999996,1.0,1.0,14,10,18
722,10.0,10.0,5.0,40.0,0,22.0,28.0,0,0,0,1.0,-1.0,48.0,2,0.9089999999999998,0.0,0.0,14,10,18
742,10.0,,5.0,40.0,0,22.0,28.0,0,0,0,1.0,-1.0,48.0,2,0.9089999999999998,0.0,0.0,14,10,18
136,10.0,42.16,14.45,15.55,0,27.0,28.0,0,0,0,1.0,1.0,24.0,2,-3.327499999999995,0.0,0.0,12,14,18
471,500.0,30.0,8.0,20.0,1,28.0,28.0,0,0,1,0.0,-1.0,8.0,2,-1.1722999999999981,0.0,0.0,14,10,18
472,500.0,30.0,8.0,20.0,1,28.0,28.0,0,0,1,0.0,-1.0,24.0,2,-8.161100000000008,0.0,0.0,14,0,18
704,100.0,10.0,5.0,32.0,0,28.0,28.0,0,0,0,1.0,1.0,24.0,2,0.4864999999999999,1.0,0.0,12,14,18
705,5.0,10.0,5.0,32.0,0,28.0,28.0,0,0,0,1.0,-1.0,48.0,2,-0.5447999999999991,1.0,1.0,14,10,18
144,10.0,42.6,14.45,15.55,0,31.0,28.0,0,0,0,1.0,-1.0,48.0,2,-3.327499999999995,0.0,0.0,14,10,18
415,500.0,30.0,8.0,20.0,1,20.0,27.0,0,0,1,0.0,-1.0,168.0,2,0.3181000000000002,1.0,0.0,14,10,18
461,500.0,30.0,8.0,20.0,1,25.0,27.0,0,0,1,0.0,-1.0,24.0,2,1.785600000000004,0.0,0.0,14,0,18
468,500.0,30.0,8.0,20.0,1,27.0,27.0,0,0,1,0.0,-1.0,12.0,1,0.3181000000000002,1.0,0.0,14,10,18
469,500.0,30.0,8.0,20.0,1,27.0,27.0,0,0,1,0.0,-1.0,24.0,2,-3.327499999999995,0.0,0.0,14,10,18
470,500.0,30.0,8.0,20.0,1,27.0,27.0,0,0,1,0.0,-1.0,48.0,2,-0.21439999999999837,0.0,0.0,14,10,18
703,30.0,10.0,5.0,32.0,0,27.0,27.0,0,0,0,1.0,-1.0,48.0,2,-8.424200000000015,0.0,0.0,14,10,18
414,500.0,30.0,8.0,20.0,1,20.0,26.0,0,0,1,0.0,-1.0,24.0,2,-8.424200000000015,0.0,0.0,14,0,18
460,500.0,30.0,8.0,20.0,1,25.0,26.0,0,0,1,0.0,-1.0,24.0,2,1.2575999999999998,0.0,1.0,14,0,18
462,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,48.0,2,0.9089999999999998,0.0,0.0,14,10,18
463,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,12.0,1,-3.327499999999995,0.0,0.0,14,10,18
464,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,24.0,2,-7.2914000000000065,0.0,0.0,14,0,18
465,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,12.0,1,-7.2914000000000065,0.0,0.0,14,10,18
466,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,24.0,2,-0.24029999999999685,1.0,0.0,14,10,18
702,100.0,10.0,5.0,32.0,0,26.0,26.0,0,0,0,1.0,-1.0,48.0,2,0.4864999999999999,1.0,0.0,14,10,18
120,30.0,42.31,14.45,15.55,0,0.0,25.0,1,0,0,1.0,-1.0,12.0,2,-0.5359999999999987,1.0,1.0,14,10,18
259,500.0,30.0,8.0,20.0,1,7.0,25.0,0,0,1,0.0,-1.0,48.0,2,-8.161100000000008,0.0,0.0,14,10,18
776,5.0,10.0,14.0,42.0,0,20.0,25.0,0,0,0,1.0,-1.0,168.0,2,1.5439999999999998,0.0,1.0,14,10,18
655,,100.0,5.0,30.0,0,21.0,25.0,0,0,0,1.0,1.0,4.0,2,-0.17602999999999924,1.0,0.0,12,14,18
656,10.0,100.0,5.0,30.0,0,22.0,25.0,0,0,0,1.0,-1.0,24.0,2,-3.327499999999995,0.0,0.0,14,10,18
443,500.0,30.0,8.0,20.0,1,23.0,25.0,0,0,1,0.0,-1.0,24.0,1,0.9089999999999998,0.0,0.0,14,10,18
658,,100.0,5.0,30.0,0,23.0,25.0,0,0,0,1.0,1.0,24.0,2,-0.17602999999999924,1.0,0.0,12,14,18
449,500.0,30.0,8.0,20.0,1,24.0,25.0,0,0,1,0.0,-1.0,12.0,1,-1.2991999999999946,1.0,2.0,14,10,18
450,500.0,30.0,8.0,20.0,1,24.0,25.0,0,0,1,0.0,1.0,0.16,1,0.10620000000000512,0.0,0.0,12,14,18
451,500.0,30.0,8.0,20.0,1,24.0,25.0,0,0,1,0.0,-1.0,24.0,2,0.10620000000000512,0.0,0.0,14,0,18
454,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,12.0,1,-4.953199999999996,1.0,1.0,14,10,18
455,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,24.0,2,0.3736999999999999,1.0,0.0,14,10,18
456,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,12.0,1,0.3736999999999999,1.0,0.0,14,10,18
457,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,24.0,2,-0.21439999999999837,0.0,0.0,14,10,18
458,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,1.0,24.0,2,-0.21439999999999837,0.0,0.0,12,14,18
459,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,8.0,2,-0.21439999999999837,0.0,0.0,14,10,18
696,300.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,0.07349999999999995,0.0,1.0,12,14,18
697,30.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,-1.0,48.0,2,1.4230200000000002,0.0,2.0,14,10,18
698,30.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,1.4230200000000002,0.0,2.0,12,14,18
699,25.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,-1.0,48.0,2,-0.21439999999999837,0.0,0.0,14,10,18
700,25.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,-0.21439999999999837,0.0,0.0,12,14,18
701,10.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,-3.327499999999995,0.0,0.0,12,14,18
778,30.0,10.0,14.0,42.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,5.6661000000000055,0.0,0.0,12,14,18
119,40.0,42.18,14.45,15.55,0,0.0,24.0,1,0,0,1.0,1.0,24.0,2,-4.953199999999996,1.0,1.0,12,14,18
388,500.0,30.0,8.0,20.0,1,18.0,24.0,0,0,1,0.0,-1.0,168.0,2,-3.4698999999999973,1.0,0.0,14,10,18
653,10.0,100.0,5.0,30.0,0,21.0,24.0,0,0,0,1.0,1.0,4.0,2,-3.327499999999995,0.0,0.0,12,14,18
654,,100.0,5.0,30.0,0,21.0,24.0,0,0,0,1.0,-1.0,24.0,2,-0.17602999999999924,1.0,0.0,14,10,18
133,20.0,42.3,14.45,15.55,0,22.0,24.0,0,0,0,1.0,-1.0,12.0,2,0.3181000000000002,1.0,0.0,14,10,18
430,500.0,30.0,8.0,20.0,1,22.0,24.0,0,0,1,0.0,-1.0,168.0,2,0.9089999999999998,0.0,0.0,14,10,18
431,500.0,30.0,8.0,20.0,1,22.0,24.0,0,0,1,0.0,-1.0,24.0,1,-0.21439999999999837,0.0,0.0,14,10,18
444,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,8.0,2,-8.424200000000015,0.0,0.0,14,10,18
445,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,12.0,1,-1.198999999999999,1.0,2.0,14,10,18
446,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,24.0,2,-1.1722999999999981,0.0,0.0,14,10,18
447,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,12.0,1,-0.24029999999999685,1.0,0.0,14,10,18
448,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,24.0,2,-8.161100000000008,0.0,0.0,14,10,18
695,10.0,10.0,5.0,32.0,0,24.0,24.0,0,0,0,1.0,-1.0,48.0,2,-3.327499999999995,0.0,0.0,14,10,18
428,500.0,30.0,8.0,20.0,1,22.0,23.0,0,0,1,0.0,-1.0,24.0,1,0.3736999999999999,1.0,0.0,14,10,18
429,500.0,30.0,8.0,20.0,1,22.0,23.0,0,0,1,0.0,-1.0,8.0,2,-7.2914000000000065,0.0,0.0,14,10,18
777,30.0,10.0,14.0,42.0,0,22.0,23.0,0,0,0,1.0,1.0,24.0,2,1.5833,0.0,1.0,12,14,18
433,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,2,-8.424200000000015,0.0,0.0,14,10,18
434,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,2,-8.424200000000015,0.0,0.0,14,10,18
435,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,12.0,2,-4.953199999999996,1.0,1.0,14,10,18
436,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,2,-3.327499999999995,0.0,0.0,14,10,18
437,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,1.0,0.16,1,-7.2914000000000065,0.0,0.0,12,14,18
438,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,12.0,2,-8.161100000000008,0.0,0.0,14,10,18
439,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,1,-8.161100000000008,0.0,0.0,14,10,18
440,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,12.0,1,-8.161100000000008,0.0,0.0,14,10,18
441,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,2,0.10620000000000512,0.0,0.0,14,10,18
442,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,8.0,2,0.10620000000000512,0.0,0.0,14,10,18
693,300.0,10.0,5.0,32.0,0,23.0,23.0,0,0,0,1.0,-1.0,48.0,2,0.07349999999999995,0.0,1.0,14,10,18
694,30.0,10.0,5.0,32.0,0,23.0,23.0,0,0,0,1.0,1.0,24.0,2,-8.424200000000015,0.0,0.0,12,14,18
146,1.0,42.17,14.45,15.55,0,33.0,23.0,0,0,0,1.0,1.0,24.0,2,1.89532,1.0,1.0,12,14,18
118,30.0,42.21,14.45,15.55,0,0.0,22.0,1,0,0,1.0,1.0,24.0,2,-0.5359999999999987,1.0,1.0,12,14,18
319,500.0,30.0,8.0,20.0,1,14.0,22.0,0,0,1,0.0,-1.0,24.0,2,-8.424200000000015,0.0,0.0,14,10,18
387,500.0,30.0,8.0,20.0,1,18.0,22.0,0,0,1,0.0,-1.0,168.0,2,0.10620000000000512,0.0,0.0,14,10,18
412,500.0,30.0,8.0,20.0,1,20.0,22.0,0,0,1,0.0,-1.0,24.0,1,-3.327499999999995,0.0,0.0,14,10,18
413,500.0,30.0,8.0,20.0,1,20.0,22.0,0,0,1,0.0,-1.0,24.0,1,-7.2914000000000065,0.0,0.0,14,10,18
652,,100.0,5.0,30.0,0,20.0,22.0,0,0,0,1.0,-1.0,48.0,2,-0.17602999999999924,1.0,0.0,14,10,18
879,10.0,10.0,20.0,20.0,0,20.0,22.0,0,0,1,0.0,1.0,24.0,2,-3.327499999999995,0.0,0.0,12,14,18
423,500.0,30.0,8.0,20.0,1,21.0,22.0,0,0,1,0.0,-1.0,12.0,1,-0.21439999999999837,0.0,0.0,14,10,18
